degree_names,languages,matched_score,institution_count,max_passing_year,gpa,min_experience_requirement,min_age_requirement,extra_curricular,certification,major1_mapped,major2_mapped,job1,job2,job3
Bachelor,,0.85,1,,3.4,3.0,,0,0,Design Technology,Undeclared,Engineering Technician,Material Handler,General Laborer
Bachelor,,0.65,1,2020,,5.0,,1,0,Computer Science,Undeclared,,,
Bachelor,,0.2266666666666666,2,2010,,,20.0,1,0,Accounting,Finance,Accountant,Accountant,Accountant
Bachelor,,0.55,1,2018,,2.0,25.0,0,0,Electrical Engineering,Undeclared,IT Technician,Computer Technician,Help Desk Technician
Bachelor,,0.75,1,,,15.0,52.0,0,0,Communication,Undeclared,Buisness Developer,Consumer Analyst,Marketing Analyst
Bachelor,,0.6,2,2019,,3.0,,0,0,Undeclared,Data Analytics,Machine Learning Engineer,,
Bachelor,,0.55,1,2013,,1.0,,0,1,General Engineering,Undeclared,Computer Vision Engineer,,Data Scientist
Master,,0.85,2,2015,,3.0,,0,1,Computer Science,Computer Science,Instructor,Software Engineer,Software Engineer
Bachelor,,0.65,2,1986,4.0,3.0,,0,0,General Studies,General Studies,Engineer,Service Technician,Concrete Finisher
Bachelor,,0.65,1,2020,,2.0,25.0,1,0,Mechanical Engineering,Undeclared,Business Analyst,,
Bachelor,,0.683333333,1,2020,,5.0,,0,0,Mechanical Engineering,Undeclared,Machine Learning Engineer,,
Bachelor,,0.85,1,2020,,3.0,,0,0,Computer Science,Undeclared,Intern,,
Bachelor,,0.85,1,2019,,3.0,,1,0,Computer Science,Undeclared,Machine Learning Engineer,Research Assistant,
Bachelor,,0.716666667,1,,,,20.0,0,0,Mechanical Engineering,Undeclared,Engineer,,Reliability Engineer
Bachelor,,0.85,2,1996,,5.0,30.0,0,0,Undeclared,General Studies,Buisness Developer,Service Manager,System Technology Specialist
Master,,0.85,2,2019,,3.0,25.0,1,0,Undeclared,Undeclared,Researcher,,
Bachelor,,0.65,1,1978,,3.0,40.0,0,0,Mechanical Engineering,Undeclared,Engineer,,
Master,,0.793333333,3,2012,,3.0,,1,1,Accounting,Aerospace Engineering,Engineer,Vice President,Program Manager
Bachelor,,0.65,1,2021,,2.0,25.0,1,0,Electrical Engineering,Undeclared,Systems Engineer,,
Bachelor,,0.343333333,5,2010,,2.0,25.0,0,0,Undeclared,Undeclared,Construction Engineer,Combat Engineer,Combat Engineer
Bachelor,,0.35,1,2019,,2.0,25.0,1,0,Computer Science,Undeclared,Machine Learning Engineer,,
Bachelor,,0.65,1,,,1.0,,0,1,Education,Undeclared,Business Development Director,Account Manager,
Bachelor,,0.826666667,1,1999,,3.0,,0,0,Undeclared,Undeclared,Engineering Technician,Repair Technician,Production Specialist
Master,,0.8166666666666668,3,2003,4.0,2.0,,0,0,Education,Accounting,Manager,Instructional Designer,Online Course Instructor
Master,,0.716666667,2,2020,,3.0,,0,0,Undeclared,Undeclared,Data Scientist,,
PhD,,0.65,2,1980,,,18.0,0,0,Computer Science,Computer Science,Professor,Professor,
Master,,0.55,2,,,15.0,52.0,0,0,Industrial Engineering,Chemical Engineering,Engineer,Engineer,Chemical Engineer
Bachelor,,0.16,2,2016,3.85,5.0,30.0,0,1,Accounting,Accounting,Accountant,Office Manager,Office Manager
Master,Spanish,0.65,2,2008,,1.0,22.0,0,0,Business Administration,Finance,Accountant,Accountant,Accountant
Bachelor,,0.65,1,2020,,2.0,25.0,0,0,Computer Science,Undeclared,Machine Learning Engineer,,
Bachelor,,0.783333333,3,,3.472,4.0,,1,1,Undeclared,Chemical Engineering,Software Engineer,Software Engineer,Software Engineer
Bachelor,,0.65,5,2010,,4.0,,0,0,Undeclared,Undeclared,Construction Engineer,Combat Engineer,Combat Engineer
Bachelor,,0.75,1,2008,,,,0,0,Computer Science,Undeclared,Accountant,Accounts Receivable Clerk,Mortgage Underwriter
PhD,,0.716666667,3,,,,18.0,0,0,Undeclared,Electrical Engineering,Engineer,Systems Engineer,Electrical Engineer
Bachelor,,0.35,1,2019,,5.0,25.0,0,1,Information Technology,Undeclared,Machine Learning Engineer,,
PhD,Hebrew,0.893333333,2,2008,0.16399999999999998,5.0,,1,0,Computer Science,Computer Science,Intern,Intern,
Bachelor,,0.65,1,2020,,2.0,,1,0,Information Technology,Undeclared,Data Analyst,,
PhD,Hebrew,0.65,2,2008,0.16399999999999998,5.0,30.0,1,0,Computer Science,Computer Science,Intern,Intern,
Bachelor,,0.85,1,2015,,5.0,,0,0,Computer Science,Undeclared,Computer Engineer,Systems Administrator,Help Desk Technician
Bachelor,Polish,0.85,2,2020,,1.0,25.0,0,0,Accounting,Accounting,Accountant,Branch Service Specialist,Cashier
Master,,0.716666667,3,2012,,4.0,,1,1,Accounting,Aerospace Engineering,Engineer,Vice President,Program Manager
Bachelor,,0.85,1,2020,,4.0,,0,1,Statistics,Undeclared,Analyst,,
Bachelor,,0.816666667,1,1990,,3.0,,0,0,Electrical Engineering,Undeclared,Engineer,Engineer,Engineer
Bachelor,,0.75,1,2019,,4.0,,1,0,Information Technology,Undeclared,Analyst,,
Master,,0.85,2,2019,,,20.0,1,0,Economics,Economics,Finance Technology Expert,,
PhD,Japanese,0.383333333,3,2023,,1.0,,0,0,Computer Science,Computer Science,Researcher,Software Engineer,Machine Learning Engineer
Master,,0.576666667,3,2010,3.6,1.0,,1,0,General Studies,Sociology,Engineer,Project Manager,Manufacturing Engineer
Master,,0.683333333,3,2015,,5.0,24.0,0,1,Undeclared,Aerospace Engineering,,Field Engineer,Aircraft Engineer
Bachelor,Spanish,0.85,1,2010,,1.0,,1,0,Sociology,Undeclared,Business Development Director,Business Development Director,Human Resources
Bachelor,,0.65,1,,,5.0,24.0,0,0,Business Administration,Undeclared,Business Development Director,Marketing Analyst,Marketing Analyst
Bachelor,,0.816666667,1,2013,,3.0,40.0,0,1,General Engineering,Undeclared,Computer Vision Engineer,,Data Scientist
PhD,,0.716666667,3,,,1.0,,1,1,Information Systems,Information Systems,Project Manager,Founder,Manager
Master,Spanish,0.71,2,2008,,15.0,52.0,0,0,Business Administration,Finance,Accountant,Accountant,Accountant
Master,,0.266666667,2,,,1.0,25.0,0,0,Computer Science,Electrical Engineering,Software Engineer,Software Engineer,Software Engineer
Bachelor,,0.7833333333333333,1,,,2.0,,0,0,Business Administration,Undeclared,Business Development Director,Marketing Analyst,Marketing Analyst
Bachelor,,0.583333333,1,2018,,5.0,30.0,0,0,Computer Science,Undeclared,Others,Data Consultant,
Bachelor,,0.783333333,1,,3.84,1.0,,1,0,Computer Science,Undeclared,Blog Writer,Unix Systems Technician,
Bachelor,,0.483333333,1,2019,,5.0,30.0,1,0,Electrical Engineering,Undeclared,Software Engineer,,
Master,,0.466666667,2,2021,,1.0,22.0,0,1,Computer Science,Computer Science,Intern,,
Bachelor,,0.783333333,1,2021,,4.0,,1,0,Computer Science,Undeclared,Intern,,
Bachelor,Spanish,0.34,6,2016,,1.0,25.0,0,1,Accounting,Informatics Engineering,Accountant,Accountant,Bookkeeper
Bachelor,,0.816666667,2,1986,4.0,3.0,25.0,0,0,General Studies,General Studies,Engineer,Service Technician,Concrete Finisher
Master,,0.943333333,2,2020,,5.0,,0,0,Undeclared,Undeclared,Data Scientist,,
Master,,0.716666667,2,2019,,5.0,,1,0,Commerce,Undeclared,Data Scientist,,
Master,,0.383333333,2,,,5.0,30.0,0,0,Mechanical Engineering,Mechanical Engineering,Others,Thermal Engineer,Researcher
Bachelor,,0.65,1,2020,,1.0,,1,0,Undeclared,Undeclared,Data Engineer,,
Master,,0.783333333,3,2010,,3.0,40.0,0,1,Business Administration,Management,Engineering Specialist,Technical Support Specialist,Military Supervisor
Master,French,0.2833333333333333,2,1990,,2.0,25.0,1,1,Finance,Modern Languages,Business Development Director,,
Bachelor,,0.816666667,1,,,1.0,25.0,0,1,Mechanical Engineering,Undeclared,Engineer,,Engineer
Master,,0.483333333,2,2017,,1.0,25.0,0,1,Mechanical Engineering,Mechanical Engineering,,,Gearbox Designer
Bachelor,,0.5499999999999999,2,2010,,,20.0,0,0,Accounting,Accounting,Accountant,Accountant,Accountant
Master,,0.65,2,2019,,5.0,,1,0,Undeclared,Undeclared,Data Analyst,,
Bachelor,,0.383333333,1,,3.6,15.0,52.0,0,1,Computer Science,Undeclared,Android Engineer,Android Engineer,
Bachelor,,0.65,1,2019,,3.0,,0,0,Electrical Engineering,Undeclared,Data Engineer,,
Master,,0.62,2,2021,,1.0,22.0,1,0,Computer Science,Artificial Intelligence,Researcher,,
Master,,0.65,2,2020,,3.0,40.0,0,1,Electrical Engineering,Artificial Intelligence,Development Engineer,,
Bachelor,,0.85,2,2017,3.1768,3.0,40.0,1,1,General Studies,Aerospace Engineering,Engineer,Tutor,Mechanical Design Engineer
Bachelor,,0.75,1,,3.84,15.0,52.0,1,0,Computer Science,Undeclared,Blog Writer,Unix Systems Technician,
Master,,0.85,2,,,5.0,30.0,0,0,Industrial Engineering,Chemical Engineering,Engineer,Engineer,Chemical Engineer
Bachelor,,0.7600000000000001,1,2008,,4.0,,0,0,Computer Science,Undeclared,Accountant,Accounts Receivable Clerk,Mortgage Underwriter
Bachelor,,0.8166666666666668,1,,,5.0,,1,1,General Studies,Undeclared,Business Development Director,Inside Sales Manager,Inside Sales Manager
Master,Swahili,0.85,5,2011,,4.0,,0,0,Information Technology,Computer Science,,Computer Technician,Software Engineer
Bachelor,,0.75,1,2015,,1.0,,0,0,Computer Science,Undeclared,Computer Technician,,Help Desk Technician
Bachelor,,0.35,1,2019,,1.0,25.0,1,0,Computer Science,Undeclared,Intern,,
Master,,0.65,2,,,3.0,25.0,0,0,Computer Science,Electrical Engineering,Software Engineer,Software Engineer,Software Engineer
Bachelor,,0.85,2,2017,3.1768,1.0,25.0,1,1,General Studies,Aerospace Engineering,Engineer,Tutor,Mechanical Design Engineer
Bachelor,,0.77,1,2019,,2.0,25.0,1,0,Electrical Engineering,Undeclared,Analyst,,
Bachelor,,0.35,1,2019,,5.0,25.0,0,1,Electrical Engineering,Undeclared,Data Engineer,,
Bachelor,,0.3166666666666666,1,2002,,2.0,25.0,1,1,Accounting,Undeclared,Accountant,Accountant,Financial Analyst
Bachelor,,0.716666667,1,2020,,1.0,,0,0,Electrical Engineering,Undeclared,Machine Learning Engineer,,
Bachelor,,0.716666667,2,,3.7,3.0,40.0,0,0,Information Technology,Undeclared,Lighting Field Engineering Technician,Administrative Technical Assistant,Customer Service Professional
Bachelor,,0.683333333,1,2020,,5.0,,1,0,Electrical Engineering,Undeclared,Systems Engineer,,
Bachelor,,0.35,1,2020,,2.0,25.0,0,0,Electrical Engineering,Undeclared,Machine Learning Engineer,,
Bachelor,,0.516666667,1,2020,,5.0,30.0,0,1,Statistics,Undeclared,Analyst,,
Bachelor,,0.873333333,1,,,3.0,25.0,0,1,Undeclared,Undeclared,Software Engineer,,Administrator
Master,,0.5499999999999999,2,2009,,3.0,,1,0,Accounting,Accounting,Accountant,Accountant,Accountant
Bachelor,,0.65,1,2018,,1.0,,0,0,Electrical Engineering,Undeclared,IT Technician,Computer Technician,Help Desk Technician
Bachelor,,0.85,1,2019,,,20.0,1,0,Information Technology,Undeclared,,,
Bachelor,,0.85,1,,3.55,3.0,25.0,0,0,Computer Science,Undeclared,Committee Chair,Member,Resident Advisor
Bachelor,,0.35,1,2018,,15.0,52.0,0,0,Electrical Engineering,Undeclared,IT Technician,Computer Technician,Help Desk Technician
Master,,0.793333333,2,2005,,5.0,28.0,0,1,Computer Science,Electrical Engineering,,Software Certification Analyst,Project Coordinator
Master,,0.383333333,2,2020,,5.0,30.0,0,0,Undeclared,Economics,,,
Master,,0.5666666666666667,2,2006,,,,0,0,Finance,Undeclared,Accountant,Accountant,Accountant
Bachelor,,0.683333333,1,2018,,,22.0,1,0,Undeclared,Undeclared,,,
Master,,0.71,3,2011,,5.0,28.0,1,1,Mechanical Engineering,Business Administration,Director,,Vice President
Bachelor,,0.65,1,2021,,3.0,,1,0,Computer Science,Undeclared,,,
Bachelor,,0.483333333,1,2021,,,18.0,1,0,Computer Science,Undeclared,Intern,,
Master,,0.65,2,2021,,1.0,,1,0,Computer Science,Artificial Intelligence,Researcher,,
Bachelor,,0.6933333333333334,1,2007,,,18.0,1,1,Accounting,Undeclared,Accountant,Financial Controller,
Master,,0.35,2,2005,,1.0,,0,1,Computer Science,Electrical Engineering,,Software Certification Analyst,Project Coordinator
Bachelor,,0.85,0,,,5.0,,0,1,Undeclared,Undeclared,Corporate Engineering Support Technician,,
Bachelor,,0.6066666666666667,1,,,3.0,,0,0,Communication,Undeclared,Buisness Developer,Consumer Analyst,Marketing Analyst
Bachelor,,0.65,1,2019,,5.0,28.0,1,0,Electrical Engineering,Undeclared,Software Engineer,,
Bachelor,,0.85,1,2013,,,20.0,0,1,General Engineering,Undeclared,Computer Vision Engineer,,Data Scientist
Bachelor,,0.883333333,1,2018,,,,1,0,Undeclared,Undeclared,Analyst,,
Master,Mandarin,0.3166666666666666,2,2012,3.5,5.0,24.0,0,1,Accounting,Business Administration,Accountant,Accountant,
Bachelor,,0.683333,1,,,1.0,,0,0,Business Administration,Undeclared,,Sales Representative,General Manager
Bachelor,,0.62,1,2020,,2.0,,0,0,Undeclared,Undeclared,Data Analyst,,
Bachelor,,0.85,2,2010,,3.0,25.0,0,0,Mechanical Engineering,Undeclared,Engineer,Design Engineer,Project Engineer
Master,,0.7616666666666667,2,1,,1.0,25.0,0,0,Accounting,Computer Science,Accountant,Accountant,Accountant
PhD,,0.65,2,2019,,2.0,25.0,0,0,Commerce,Data Science,Data Scientist,Data Scientist,
Master,,0.35,2,2020,,2.0,25.0,0,0,Management,Information Technology,Business Analyst,,
Master,,0.5499999999999999,3,,4.0,1.0,22.0,1,1,Education,Economics,Accountant,District Administrative Manager,Business Manager
PhD,Japanese,0.85,3,2023,,4.0,,0,0,Computer Science,Computer Science,Researcher,Software Engineer,Machine Learning Engineer
Bachelor,,0.783333333,1,2020,,1.0,,1,0,Computer Science,Undeclared,,,
Bachelor,,0.85,1,,3.4,,22.0,0,0,Design Technology,Undeclared,Engineering Technician,Material Handler,General Laborer
Bachelor,,0.55,1,,,1.0,22.0,0,1,Undeclared,Undeclared,Software Engineer,,Administrator
Bachelor,,0.65,3,2023,0.4,2.0,25.0,1,1,Electrical Engineering,Undeclared,Intern,Intern,
Bachelor,,0.383333333,1,2018,3.01,,20.0,0,0,Civil Engineering,Undeclared,Engineer,Field Engineer,Field Engineer
Bachelor,,0.65,1,2018,,3.0,,1,0,Undeclared,Undeclared,Machine Learning Engineer,,
Bachelor,,0.85,1,2019,,,,0,0,Computer Science,Undeclared,Data Scientist,,
PhD,,0.783333333,2,2019,,3.0,25.0,0,0,Commerce,Data Science,Data Scientist,Data Scientist,
Master,Mandarin,0.45,2,2010,,2.0,25.0,0,0,Accounting,Accounting,Financial Accountant,Accountant,Accountant
Bachelor,,0.85,1,1996,,1.0,25.0,1,0,Undeclared,Undeclared,,,Others
Bachelor,,0.65,1,2019,,3.0,,1,0,Computer Science,Undeclared,Intern,,
Bachelor,,0.85,2,1991,,4.0,,0,0,Electrical Engineering,Computer Science,Engineering Technician,Quality Assurance Specialist,
Bachelor,,0.85,1,2007,,1.0,25.0,1,1,Accounting,Undeclared,Accountant,Financial Controller,
Bachelor,Arabic,0.75,1,2010,,5.0,25.0,0,0,Accounting,Undeclared,Others,Others,Accountant
PhD,,0.76,3,2015,,4.0,,1,0,Mechanical Engineering,Robotics Engineering,Process Engineer,Research Assistant,Researcher
Bachelor,,0.516666667,2,1996,,3.0,,0,1,Aerospace Engineering,Undeclared,,,
Bachelor,,0.816666667,1,,3.8,3.0,25.0,1,0,Computer Science,Undeclared,Software Engineer,,
Bachelor,,0.85,1,2019,,3.0,25.0,0,0,Information Technology,Undeclared,Analyst,,
Bachelor,,0.583333333,1,2020,,1.0,25.0,0,1,Mechanical Engineering,Undeclared,Market Research Analyst,,
Bachelor,,0.65,1,2019,,3.0,40.0,1,0,Undeclared,Undeclared,Others,,
Bachelor,,0.683333333,1,2020,,3.0,25.0,0,0,Undeclared,Undeclared,Data Analyst,,
Bachelor,,0.65,1,,,1.0,25.0,1,1,Mechanical Engineering,Undeclared,Mechancial Engineer,System Engineer,
PhD,,0.45,2,1980,,5.0,24.0,0,0,Computer Science,Computer Science,Professor,Professor,
Bachelor,,0.383333333,1,2019,,1.0,,1,0,Information Technology,Undeclared,Software Engineer,,
PhD,,0.65,3,,,,20.0,0,0,Undeclared,Electrical Engineering,Engineer,Systems Engineer,Electrical Engineer
Bachelor,,0.65,1,,,5.0,24.0,0,1,Education,Undeclared,Business Development Director,Account Manager,
Bachelor,,0.483333333,1,2019,,1.0,,1,0,Data Science,Undeclared,Data Scientist,,
Master,,0.6,3,2010,3.6,1.0,25.0,1,0,General Studies,Sociology,Engineer,Project Manager,Manufacturing Engineer
PhD,,0.77,2,2021,,3.0,25.0,0,0,Electrical Engineering,Data Science,Data Engineer,,
Master,,0.3499999999999999,3,2013,,5.0,24.0,0,0,Business Administration,Business Administration,,,
Bachelor,,0.62,1,2021,,,18.0,1,0,Computer Science,Undeclared,Intern,,
Bachelor,,0.716666667,1,2019,,3.0,,0,1,Computer Science,Undeclared,,,
Bachelor,,0.8166666666666668,2,2004,,15.0,52.0,0,0,Accounting,Computer Science,Accountant,Financial Aid Accountant,Customer Care Consultant
Master,Arabic,0.5166666666666667,4,,,5.0,30.0,0,0,Accounting,Undeclared,Accountant,Accountant,Accountant
Bachelor,,0.666666667,1,2006,3.73,2.0,,0,0,Electrical Engineering,Undeclared,Engineer,Electrical Design Engineer,Project Engineer
Master,,0.65,3,2015,,1.0,,0,1,Undeclared,Aerospace Engineering,,Field Engineer,Aircraft Engineer
PhD,French,0.3166666666666666,3,2014,,5.0,30.0,1,1,Pharmaceutical Studies,Undeclared,Business Development Director,Buisness Developer,Marketing Analyst
Bachelor,,0.65,1,2020,,5.0,30.0,1,0,Information Technology,Undeclared,Research Assistant,,
Bachelor,,0.716666667,1,2020,,3.0,,1,0,Civil Engineering,Undeclared,Intern,,
Bachelor,,0.6,1,1996,,1.0,,1,0,Undeclared,Undeclared,,,Others
Master,,0.85,3,2017,4.0,15.0,52.0,0,0,Data Analytics,Environmental Science,,,
Bachelor,,0.5,0,,,5.0,30.0,0,1,Undeclared,Undeclared,Corporate Engineering Support Technician,,
Master,,0.65,2,2020,,2.0,25.0,1,0,Computer Science,Data Science,,,
Bachelor,,0.6,1,2020,,,18.0,0,1,Statistics,Undeclared,Analyst,,
Master,,0.716666667,2,,,5.0,25.0,0,0,Industrial Engineering,Mechanical Engineering,Engineer,Engineer,
Bachelor,,0.75,1,2018,,1.0,,1,0,Statistics,Undeclared,Automation Engineer,Data Engineer,
Master,,0.85,2,,,3.0,,0,0,Industrial Engineering,Chemical Engineering,Engineer,Engineer,Chemical Engineer
