,Course Code,Course Title,Description
36,AFRICAM 10B,Intermediate Swahili,"This course reviews and expands students' knowledge of fundamental structures from Elementary Swahili and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and reading are expanded through compositions, written exercises, and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by instructor's materials. Intermediate Swahili"
37,AFRICAM 11A,Elementary Swahili,"This course introduces students to the basics of speaking, listening, reading, and writing in Swahili. Instruction is mixed English and Swahili. Emphasis is placed on developing student ability to create and to communicate with basic structures and vocabulary in culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center. Reading and writing are developed through in-class exercises, independent reading projects, and compositions. This course not open to native or heritage speakers of Swahili. Elementary Swahili"
38,AFRICAM 11B,Elementary Swahili,"This course introduces students to the basics of speaking, listening, reading, and writing in Swahili. Instruction is mixed English and Swahili. Emphasis is placed on developing student ability to create and to communicate with basic structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center. Reading and writing are developed through in-class exercises, independent reading projects, and compositions. This course not open to native or heritage speakers of Swahili. Elementary Swahili"
39,AFRICAM 12,Intensive Elementary Swahili,"8 Week Session This will be an intensive introduction of the Swahili language to beginners specifically designed for second language Swahili learners. The course is equivalent to two semesters of studying Swahili, with a full academic year credit. In order to attain the necessary proficiency (1-1+, using Interagency Round Table (ILR) scale) by the end of 8 weeks, students will need to commit themselves to use the Swahili language at all times outside class. The primary focus is to develop speaking, listening, reading and writing skills with special emphasis on developing communicative language skills. Intensive Elementary Swahili"
40,AFRICAM 13A,Elementary Zulu,"This course introduces students to speaking, listening, reading, and writing in Zulu. Instruction is mixed English and Zulu. Emphasis is placed on developing student ability to create and to communicate with basic Zulu structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center. Reading and writing are developed through in-class exercise, independent reading projects, and compositions. This course not open to native or heritage speakers of Zulu. Elementary Zulu"
41,AFRICAM 13B,Elementary Zulu,"This course introduces students to speaking, listening, reading, and writing in Zulu. Instruction is mixed English and Zulu. Emphasis is placed on developing student ability to create and to communicate with basic Zulu structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center. Reading and writing are developed through in-class exercises, independent reading projects, and compositions. This course not open to native or heritage speakers of Zulu. Elementary Zulu"
42,AFRICAM 14A,Intermediate Zulu,"This course reviews and expands students' knowledge of fundamental structures from Elementary Zulu. Oral and written communication is emphasized. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and reading are expanded through compositions, written exercises, and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by instructor's materials. Intermediate Zulu"
43,AFRICAM 14B,Intermediate Zulu,"This course reviews and expands students' knowledge of fundamental structures from Elementary Zulu. Oral and written communication is emphasized. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and reading are expanded through compositions, written exercises, and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by instructor's materials. Intermediate Zulu"
44,AFRICAM 15A,Advanced Swahili,"This course reviews and expands students' knowledge from Intermediate Swahili. Oral and written communication will be presented in appropriate cultural contexts. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary and reading are expanded through compositions , written exercises, and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by instructor's materials. Advanced Swahili"
45,AFRICAM 15B,Advanced Swahili,"This course reviews and expands students' knowledge from Intermediate Swahili. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary, and reading are expanded through compositions, research projects with texts available through Berkeley's African Library Collection, and supplemented by instructor's materials. Advanced Swahili"
46,AFRICAM 16A,Elementary Igbo,"Igbo is one of the main languages spoken in Nigeria. Originating in southeastern Nigeria among the Igbo people, Igbo is spoken by around 30 million people in Nigeria and throughout the Diaspora. The Igbo language is in the Niger-Congo language family. There are several Igbo dialects spoken in Eastern Nigeria, with some being mutually intelligible. A ""Standard Igbo"" is used in Eastern Nigeria for government, law, education and religious contexts. Elementary Igbo"
47,AFRICAM 16B,Elementary Igbo,"Igbo is one of the main languages spoken in Nigeria. Originating in southeastern Nigeria among the Igbo people, Igbo is spoken by around 30 million people in Nigeria and throughout the Diaspora. The Igbo language is in the Niger-Congo language family. There are several Igbo dialects spoken in Eastern Nigeria, with some being mutually intelligible. A ""Standard Igbo"" is used in Eastern Nigeria for government, law, education and religious contexts. Elementary Igbo"
48,AFRICAM 18A,Elementary Amharic,"Amharic is one of the major languages of Ethiopia, spoken by over 21 million people there, and widely used by emigrants in the Diaspora. This course introduces the Amharic language and culture to both non-native and heritage language learners. The class primarily emphasizes listening, speaking, reading and writing through communicative activities, enabling students to perform various tasks in the target language. We will also become familiar with the Amharic or Geez alphabet. Elementary Amharic"
49,AFRICAM 18B,Elementary Amharic,"This course introduces students to more complex speaking, writing and listening exercise. The course covers different tasks of intermediate abstraction. It mainly focuses on speaking. The speaking is mostly carried out by students in dialogue, role play and narrative format. Elementary Amharic"
50,AFRICAM 19A,Advanced Zulu,"This course reviews and expands students' knowledge from Intermediate Zulu. Oral and written communication will be presented in appropriate cultural contexts. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary, and reading are expanded through compositions, written exercises , and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by instructor's materials. Advanced Zulu"
51,AFRICAM 19B,Advanced Zulu,"This course reviews and expands students' knowledge from Intermediate Zulu. Oral and written communication will be presented in appropriate cultural contexts. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary, and reading are expanded through compositions, written exercises , and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by the instructor's materials. Advanced Zulu"
52,AFRICAM C20AC,THE 2020 ELECTION,ELECTION
53,AFRICAM 21A,Intermediate Amharic,"This course continues to build on what students learned in its prerequisite course, AFRICAM 18A . A student is required to have successfully completed AFRICAM 18B at UC Berkeley. Students who took Amharic elsewhere may have to take a PLACEMENT test before enrolling in this course. The design of this syllabus is based on global standards for teaching Amharic as a foreign language, and ACTFL proficiency guidelines. Using the skills acquired in the first year of Amharic, this course is meant to help students improve their speaking, writing, reading, listening and cultural proficiencies. In this course, students are advised to minimize the use of English to 50% and below and plan on using Amharic more in and out of class. Intermediate Amharic"
54,AFRICAM 21B,Intermediate Amharic,"A student is required to have successfully completed Intermediate Amharic I (21A)at UC Berkeley. Students who took Amharic elsewhere may have to take a PLACEMENT test before enrolling in this course. The design of this syllabus is based on global standards for teaching Amharic as a foreign language, and ACTFL proficiency guidelines. To familiarize yourself with the standards and ACTFL proficiency guidelines, visit the following link:http://www.actfl.org/publications/all/national-standards-foreign-language-education. Using the skills acquired in the first year of Amharic, this course is meant to help student improve their speaking, writing, reading, and listening and cultural proficiencies. Intermediate Amharic"
55,AFRICAM 24,Freshman Seminars,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Freshman Seminars"
56,AFRICAM 25AC,African American Music and US Popular Culture,"With the African American experience at the center, this course will explore constructions of whiteness through the lens of jazz, disco and hip hop identity formation, as well as works of members of the Asian American and Latinx musical communities in the US as they impacted and were influenced by the Black music world. African American Music and US Popular Culture"
57,AFRICAM 27AC,"Race, Racism and Resistance in the United States","to the present. We do this by reading autobiographical works written by racial justice activists alongside works in the theory of racial formations. Together we ask: What is race? How do we define and recognize racism? How has race shaped the lives of Americans historically classified as minorities? And how have anti-racist intellectuals represented the personal and political struggles of racialized communities living in a white majority culture? To answer these questions we focus on the intersections of race, class and gender; immigration, labor and democracy; and the history of resistance to racial oppression from abolition to liberation and back. Race, Racism and Resistance in the United States"
58,AFRICAM 28AC,Globalization and Minority American Communities,"An examination of the movement of individuals, ideas, ideologies, and institutions between minority American communities in the U.S. (African Americans, Asians, Chicanos) and their cultures of origin, in the 19th and 20th centuries. The course will utilize the concepts of ""migration,"" ""diaspora,"" ""otherness,"" ""multiculturalism,"" and ""global village"" and will draw largely on social science perspectives. Globalization and Minority American Communities"
59,AFRICAM 30A,Elementary Chichewa,"This course introduces students to speaking, listening, reading, and writing in Chichewa. Instruction is mixed English and Chichewa. Emphasis is placed on developing student ability to create and to communicate with basic Chichewa structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center. Reading and writing are developed through in-class exercises, independent reading projects, and compositions. This course is not open to native or heritage speakers of Chichewa. Elementary Chichewa"
60,AFRICAM 30B,Elementary Chichewa,"This course introduces students to speaking, listening, reading, and writing in Chichewa. Instruction is mixed English and Chichewa. Emphasis is placed on developing student ability to create and to communicate with basic Chichewa structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center. Reading and writing are developed through in-class exercises, independent reading projects, and compositions. This course is not open to native or hertiage speakers of Chichewa. Elementary Chichewa"
61,AFRICAM 31A,Intermediate Chichewa,"This course reviews and expands students' knowledge of fundamental structures from Elementary Chichewa and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and reading are expanded through compositions, written exercises, and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by the instructor's materials. Intermediate Chichewa"
62,AFRICAM 31B,Intermediate Chichewa,"This course reviews and expands students' knowledge of fundamental structures from Elementary Chichewa and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and reading are expanded through compositions, written exercises, and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by the instructor's materials. Intermediate Chichewa"
63,AFRICAM 39B,Freshman/Sophmore Seminar,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Freshman/Sophmore Seminar
64,AFRICAM 39D,Freshman/Sophmore Seminar,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Freshman/Sophmore Seminar
65,AFRICAM 39E,Freshman/Sophmore Seminar,10 Week Session Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Freshman/Sophmore Seminar
66,AFRICAM 39F,Freshman/Sophmore Seminar,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Freshman/Sophmore Seminar
67,AFRICAM 39G,Freshman/Sophmore Seminar,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Freshman/Sophmore Seminar
68,AFRICAM 39H,Freshman/Sophmore Seminar,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Freshman/Sophmore Seminar
69,AFRICAM 40,Special Topics,"This course is designed to provide students with an opportunity to work closely with African American Studies faculty, investigating a topic of mutual interest in great depth. Designed primarily for lower division students and non-majors. Topics vary from semester to semester. Special Topics"
70,AFRICAM 84,Sophomore Seminar,"Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores. Sophomore Seminar"
71,AFRICAM 98,Directed Group Studies for Freshmen and Sophomores,Supervised research on specific topics related to African American Studies. Directed Group Studies for Freshmen and Sophomores
72,AFRICAM 98BC,Berkeley Connect,"Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department faculty and alumni, and go on field trips to campus resources. Students are not required to be declared majors in order to participate. Berkeley Connect"
73,AFRICAM 99,Supervised Independent Studies for Freshmen and Sophomores,Supervised research on specific topics related to African American Studies. Supervised Independent Studies for Freshmen and Sophomores
74,AFRICAM 100,Black Intellectual Thought,"This course, lets students explore the status of African American studies as a discipline. The class will discuss the social relevance of African American studies, the political origins of the discipline, and the debate over Afrocentricity. Special attention will be devoted to the contributions of black feminist theory and community scholars/organic intellectuals to the development of the discipline. Black Intellectual Thought"
75,AFRICAM 101,Research Methods for African American Studies,"As an introduction to interdisciplinary research methods as they are applied to the study of African American communities, the course will examine theoretical and conceptual issues; techniques for identifying existing research; and sources and methods of social research and data collection. The main focus will be on qualitative methods. Research Methods for African American Studies"
76,AFRICAM 107,Race and Public Policy,"This course examines the formation and implementation of public policies directly relevant to the black community. While the policies analyzed differ from year to year, basic public policy methodology will be introduced each year. Race and Public Policy"
77,AFRICAM 109,Black and Male in American Life,"The course examines ways gender and race constructions shape the lives of African American males. Developmental in design, we examine black males in the context of childhood, adolescence, gender relations and family, and the world of work. Black and Male in American Life"
78,AFRICAM 111,"Race, Class, and Gender in the United States","Emphasis on social history and comparative analysis of race, class, and gender relations in American society. Examines both similarities and differences, and highlights gender politics. Race, Class, and Gender in the United States"
79,AFRICAM W111,"Race, Class, and Gender","Key aspects like economics, politics, gender, and culture are examined. This course is web-based. Race, Class, and Gender"
80,AFRICAM 112A,Political and Economic Development in the Third World,An examination of the structural and actual manifestations of Third World underdevelopment and the broad spectrum of theoretical positions put forward to explain it. Underdevelopment will be viewed from both the international and intranational perspective. Political and Economic Development in the Third World
81,AFRICAM 112B,Political and Economic Development in the Third World,A critical appraisal of the theoretically based policies employed by Third World nations in their attempts at transition to modernized developed socio-political and economic systems and an examination of the international and intranational impediments to Third World development. The focus will be on actual examples that represent the diversity of developing countries. Political and Economic Development in the Third World
82,AFRICAM 113AC,Racial Capitalism,Racial Capitalism
83,AFRICAM 114,Introduction to African Linguistics,"The course will provide an overview of the linguistic structure of African languages. Because the Bantu languages constitute the largest sub-group in sub-Saharan Africa, there will be much focus on the description of the major grammatical features of Bantu languages. The descriptions of African linguistic structure will be accompanied by insights into the contributions made by African languages to general linguistics. Data from various African languages will be brought in to illustrate relevant aspects of African linguistic structure. Introduction to African Linguistics"
84,AFRICAM 115,Language and Social Issues in Africa,"This is an upper division course dealing with the relevance of language to social issues in African societies. It will focus on political developments in Africa and the use of language in fostering national identity; attaining cultural emancipation; and as a tool of oppression, of maintenance of social relations, and of addressing issues of education and childhood development, etc. The course will examine such issues as the roots of national language policies as influenced by Africa's reaction to colonialism; the role of western languages in African society and the attitudes towards African languages and cultures; the challenges of nation-building in modern African states; the use of African languages in government, education, and technology; the role of language in dealing with the HIV/AIDS pandemic, and other health issues; minority languages, endangered languages, and language preservation; cultural responses to migration and African diaspora: the use of African languages in the age of globalization and information technology. Language and Social Issues in Africa"
85,AFRICAM 116,Slavery and African American Life Before 1865,Read More [+]
86,AFRICAM 117,"African Americans in the Industrial Age, 1865-1970",Read More [+]
